Номер	Имя	Широта	Долгота
1	Гамбург	53.550341	10.000654
2	Петергоф	59.881847	29.912041
3	Рейн	50.4677626	7.351989
4	Царское Село	59.7189385	30.3829343
5	Астрахань	46.3498308	48.0326203
6	Волковское кладбище	59.9014508	30.3601037
7	Театр	59.9253925	30.2958361
8	Роттердам	51.9244424	4.47775
9	Река Стахин	58.0293113	-130.0630139
10	Травемюнде	53.9626895	10.8759851
11	Альтона	53.5474251	9.9354387
12	Кавказ	43.1727039	42.6796743
13	Таврический дворец	59.9479409	30.3759296
14	Волково кладбище	59.9014508	30.3601037
15	Лондон	51.5074456	-0.1277653
16	Пулкова гора	59.7718646	30.3261123
17	Эрмитаж	60.0372074	30.2264071
18	Черное море	43.872824	33.9938077
19	Новая Адмиралтейская верфь	59.9290278	30.2796371
20	Кронштадт	59.990845	29.774652
21	Филармонический зал	59.9361952	30.331755
22	Островок	59.7870495	33.2680118
23	Эмс	52.6986304	7.3661343
24	Борнгольм	55.1431224	14.9226297
25	Британский музей	51.5193117	-0.1267051
26	Гаага	52.0799838	4.3113461
27	Берлин	52.5173885	13.3951309
28	Смольный монастырь	59.8983546	30.3211454
29	Аничков дворец	59.932985	30.3398495
30	Скевенинген	52.1067449	4.2736937
31	Ботанический сад	59.9684731	30.3185057
32	Артиллерийское училище	59.9547474	30.3524818
33	Зимний дворец	59.9404625	30.3151887
34	Готланд	57.4174802	18.5369579
35	Варшава	52.2319581	21.0067249
36	Кобленц	50.3533278	7.5943951
37	Виндзор	51.4837886	-0.6040419
38	Англия	52.5310214	-1.2649062
39	Кёльн	50.938361	6.959974
40	Темза	51.5575525	-0.781404
41	Елагин остров	59.9788434	30.2588285
42	Река Нева	59.8354498	30.5614758
43	Патриотический концерт	59.9370512	30.2792902
44	Эльба	51.8675686	12.5785974
45	Кургауз	50.3304927	7.7290183
46	Дом Энгельгардта	59.7173985	30.3982062
47	Тотгам	50.6850732	-3.4658063
48	Эксетер	50.7256138	-3.5269209
49	Гринвич	51.4820845	-0.0045417
50	Любек	53.866444	10.684738
51	Обсерватория	59.7707454	30.3328368
